Response ID,Date submitted,Last page,Start language,Seed,Date started,Date last action,ID,Scenario,MD,PhD,TD,Perf,Effort,FD,Realism,Total time,Group time: ID,SP,Question time: G01Q31,Group time: Workload,Question time: NASA1,Question time: NASA2,Question time: NASA3,Question time: NASA4,Question time: NASA5,Question time: NASA6,Group time: Degree of reality,Question time: G03Q09
79,13.04.22 13:41,3,en,83942311,13.04.22 13:39,13.04.22 13:41,VP10,Scenario 5,11,13,16,6,12,10,2,123.71,9.66,1,,108.63,,,,,,,5.42,
80,13.04.22 14:54,3,en,768490166,13.04.22 14:53,13.04.22 14:54,VP11,Scenario 1,11,6,12,4,7,3,16,57.44,6.75,1,,43.29,,,,,,,7.4,
81,13.04.22 15:05,3,en,882703545,13.04.22 15:04,13.04.22 15:05,VP11,Scenario 3,17,10,13,5,14,9,14,63.88,12.24,1,,44.91,,,,,,,6.73,
82,13.04.22 15:26,3,en,2017943530,13.04.22 15:24,13.04.22 15:26,VP11,Scenario 4,16,12,5,3,13,6,13,92.74,10.26,1,,76.31,,,,,,,6.17,
83,13.04.22 15:40,3,en,309172727,13.04.22 15:38,13.04.22 15:40,VP11,Scenario 2,14,7,12,5,17,4,13,114.85,11.95,1,,94.7,,,,,,,8.2,
84,13.04.22 15:51,3,en,347690992,13.04.22 15:50,13.04.22 15:51,VP11,Scenario 5,13,13,15,4,12,3,15,79.58,8.94,1,,62.49,,,,,,,8.15,
85,14.04.22 10:46,3,en,355516122,14.04.22 10:44,14.04.22 10:46,VP12,Scenario 3,14,9,15,13,13,10,7,99.69,11.87,1,,74.69,,,,,,,13.13,
86,14.04.22 11:00,3,en,481783514,14.04.22 10:58,14.04.22 11:00,VP12,Scenario 4,12,11,11,14,11,11,11,110.96,20.65,1,,84.1,,,,,,,6.21,
87,14.04.22 11:13,3,en,68535383,14.04.22 11:11,14.04.22 11:13,VP12,Scenario 2,9,8,9,14,15,8,15,154.03,75.77,1,,72.46,,,,,,,5.8,
88,14.04.22 11:25,3,en,1248396153,14.04.22 11:23,14.04.22 11:25,VP12,Scenario 1,8,6,7,7,8,3,17,93.3,13.41,1,,69.75,,,,,,,10.14,
89,14.04.22 11:39,3,en,1283078025,14.04.22 11:38,14.04.22 11:39,VP12,Scenario 5,6,2,5,7,11,7,15,80.1,20.42,1,,53.27,,,,,,,6.41,
90,14.04.22 13:07,3,en,1489151008,14.04.22 13:05,14.04.22 13:07,VP13,Scenario 4,14,10,10,15,18,13,17,86.69,9.79,1,,53.5,,,,,,,23.4,
91,14.04.22 13:18,3,en,157040583,14.04.22 13:17,14.04.22 13:18,VP13,Scenario 1,6,7,7,3,9,6,18,70.55,15.74,1,,40.14,,,,,,,14.67,
92,14.04.22 13:29,3,en,1437182833,14.04.22 13:29,14.04.22 13:29,VP13,Scenario 2,15,8,10,7,14,12,15,52.68,7.52,1,,38.44,,,,,,,6.72,
93,14.04.22 13:48,3,en,166839130,14.04.22 13:47,14.04.22 13:48,VP13,Scenario 3,18,14,14,9,17,12,18,78.59,9.84,1,,63.95,,,,,,,4.8,
94,14.04.22 14:00,3,en,1177497855,14.04.22 13:59,14.04.22 14:00,VP13,Scenario 5,19,12,16,14,17,15,15,59.47,10.16,1,,42.16,,,,,,,7.15,
95,19.04.22 11:51,3,en,466329366,19.04.22 11:29,19.04.22 11:51, VP14,Scenario 1,1,1,0,1,1,0,20,1299.32,14.71,1,,1275.22,,,,,,,9.39,
96,19.04.22 12:13,3,en,800171212,19.04.22 12:12,19.04.22 12:13,VP14,Scenario 2,8,8,10,3,8,2,16,115.68,12.09,1,,93.16,,,,,,,10.43,
97,19.04.22 12:24,3,en,1436135213,19.04.22 12:22,19.04.22 12:24,VP14,Scenario 3,10,7,10,8,11,2,13,90.09,9.26,1,,68.25,,,,,,,12.58,
98,19.04.22 12:33,3,en,256633146,19.04.22 12:32,19.04.22 12:33,VP14,Scenario 4,14,10,14,12,14,8,10,87.76,7.55,1,,73.36,,,,,,,6.85,
99,19.04.22 12:43,3,en,1515131694,19.04.22 12:42,19.04.22 12:43,VP14,Scenario 5,11,11,10,10,11,5,6,101.67,10.1,1,,84.58,,,,,,,6.99,
100,19.04.22 14:50,3,en,164233439,19.04.22 14:48,19.04.22 14:50,VP15,Scenario 4,15,7,18,15,15,15,18,132.64,26.23,0,,76.23,,,,,,,30.18,
101,19.04.22 15:01,3,en,2081406401,19.04.22 15:00,19.04.22 15:01,VP15,Scenario 3,10,10,10,8,11,8,20,81.44,11.69,0,,63.06,,,,,,,6.69,
102,19.04.22 15:13,3,en,100294430,19.04.22 15:12,19.04.22 15:13,VP15,Scenario 2,14,15,6,6,10,7,20,64.11,13.98,0,,39,,,,,,,11.13,
103,19.04.22 15:23,3,en,1516707109,19.04.22 15:22,19.04.22 15:23,VP15,Scenario 1,7,7,8,7,10,10,20,75.1,9.64,0,,58.47,,,,,,,6.99,
104,19.04.22 15:36,3,en,192542286,19.04.22 15:35,19.04.22 15:36,VP15,Scenario 5,12,13,15,11,12,13,16,69.26,9.05,0,,52.22,,,,,,,7.99,
105,20.04.22 10:30,3,en,1665616488,20.04.22 09:53,20.04.22 10:30,VP16,Scenario 3,15,12,20,17,17,17,5,2240.71,2124.56,0,,94.08,,,,,,,22.07,
106,20.04.22 10:48,3,en,1919170113,20.04.22 10:30,20.04.22 10:48,VP16,Scenario 2,15,11,13,14,16,13,18,1047.22,904.73,0,,126.12,,,,,,,16.37,
107,20.04.22 11:07,3,en,600323800,20.04.22 10:48,20.04.22 11:07,VP16,Scenario 4,15,12,13,10,18,13,16,1163.16,1012.69,0,,140.86,,,,,,,9.61,
108,20.04.22 11:16,3,en,1961420459,20.04.22 11:07,20.04.22 11:16,VP16,Scenario 1,11,10,5,5,12,10,18,532.48,451.31,0,,73.85,,,,,,,7.32,
109,20.04.22 11:26,3,en,51553389,20.04.22 11:17,20.04.22 11:26,VP16,Scenario 3,15,12,13,7,15,13,17,545.42,482.97,0,,57.99,,,,,,,4.46,
110,20.04.22 11:51,3,en,68946777,20.04.22 11:27,20.04.22 11:51,VP16,Scenario 5,14,11,13,6,14,12,17,334.26,29.67,0,,293.86,,,,,,,10.73,
111,20.04.22 13:37,3,en,100913091,20.04.22 13:18,20.04.22 13:37,VP17,Scenario 2,16,11,14,5,15,11,10,1130.77,964.96,0,,154.63,,,,,,,11.18,
112,20.04.22 13:54,3,en,802420875,20.04.22 13:37,20.04.22 13:54,VP17,Scenario 4,7,11,7,6,11,13,14,1018.06,900.74,0,,110.35,,,,,,,6.97,
113,20.04.22 14:04,3,en,1505707572,20.04.22 13:54,20.04.22 14:04,VP17,Scenario 3,8,14,6,7,15,13,16,586.54,478.02,0,,100.64,,,,,,,7.88,
114,20.04.22 14:13,3,en,1608651157,20.04.22 14:04,20.04.22 14:13,VP17,Scenario 1,3,2,1,0,2,0,20,530.66,471.9,0,,53.85,,,,,,,4.91,
115,20.04.22 14:24,3,en,2088710645,20.04.22 14:23,20.04.22 14:24,VP17,Scenario 5,7,12,6,11,11,11,13,108.67,19.47,0,,76.97,,,,,,,12.23,
116,20.04.22 16:07,3,en,1248653406,20.04.22 16:05,20.04.22 16:07,VP18,Scenario 3,17,13,13,4,17,14,15,99.33,10.26,0,,81.77,,,,,,,7.3,
117,20.04.22 16:26,3,en,1283616349,20.04.22 16:07,20.04.22 16:26,VP18,Scenario 1,5,4,4,2,4,2,20,1159.85,1112,0,,44.03,,,,,,,3.82,
118,20.04.22 16:36,3,en,717728621,20.04.22 16:27,20.04.22 16:36,VP18,Scenario 4,20,20,18,16,20,16,19,566.05,514.96,0,,46.98,,,,,,,4.11,
119,20.04.22 16:46,3,en,1777051986,20.04.22 16:36,20.04.22 16:46,VP18,Scenario 2,15,15,6,7,17,5,15,620.5,574.76,0,,41.12,,,,,,,4.62,
120,20.04.22 16:56,3,en,1680391820,20.04.22 16:47,20.04.22 16:56,VP18,Scenario 5,20,16,19,11,20,13,5,590.82,529.17,0,,58.19,,,,,,,3.46,
121,21.04.22 10:34,3,en,1083271817,21.04.22 09:59,21.04.22 10:34,VP19,Scenario 3,16,2,14,20,17,16,15,2062.07,1970.35,0,,61.4,,,,,,,30.32,
122,21.04.22 10:44,3,en,1190756214,21.04.22 10:34,21.04.22 10:44,VP19,Scenario 1,6,0,0,0,5,0,20,584.03,530.15,0,,50.23,,,,,,,3.65,
123,21.04.22 10:56,3,en,300141877,21.04.22 10:44,21.04.22 10:56,VP19,Scenario 2,11,5,12,0,10,0,13,750.59,17.24,0,,713.61,,,,,,,19.74,
124,21.04.22 11:09,3,en,1556714659,21.04.22 10:57,21.04.22 11:09,VP19,Scenario 4,14,10,10,4,11,3,10,739.81,11.58,0,,710.68,,,,,,,17.55,
125,21.04.22 11:19,3,en,1347412514,21.04.22 11:09,21.04.22 11:19,VP19,Scenario 5,11,1,11,3,8,2,18,625.21,10.09,0,,607.79,,,,,,,7.33,
126,21.04.22 12:53,3,en,2054102803,21.04.22 12:51,21.04.22 12:53,VP20,Scenario 2,17,14,10,13,17,5,13,77.37,12.92,0,,54.66,,,,,,,9.79,
128,21.04.22 13:03,3,en,1135773341,21.04.22 12:53,21.04.22 13:03,VP20,Scenario 1,5,4,5,3,5,1,17,620.5,10.3,0,,604.06,,,,,,,6.14,
129,21.04.22 13:13,3,en,1698132052,21.04.22 13:03,21.04.22 13:13,VP20,Scenario 3,16,17,17,14,15,14,8,592.96,13.08,0,,557.23,,,,,,,22.65,
130,21.04.22 13:23,3,en,1922716217,21.04.22 13:13,21.04.22 13:23,VP20,Scenario 4,10,8,10,6,10,5,9,581.98,10.69,0,,563.99,,,,,,,7.3,
131,21.04.22 13:36,3,en,165199433,21.04.22 13:23,21.04.22 13:36,VP20,Scenario 5,9,6,7,3,14,4,13,752.27,8.94,0,,717.89,,,,,,,25.44,
132,21.04.22 15:16,3,en,1582431148,21.04.22 15:15,21.04.22 15:16,VP21,Scenario 1,5,3,5,4,4,3,20,99.43,10.86,0,,72.67,,,,,,,15.9,
133,21.04.22 15:27,3,en,132112578,21.04.22 15:17,21.04.22 15:27,VP21,Scenario 3,14,5,14,8,15,15,18,624.35,8.39,0,,606.87,,,,,,,9.09,
134,21.04.22 15:38,3,en,1802812409,21.04.22 15:27,21.04.22 15:38,VP21,Scenario 4,13,3,7,11,12,14,15,650.25,12.92,0,,621.25,,,,,,,16.08,
135,21.04.22 15:49,3,en,1174473815,21.04.22 15:47,21.04.22 15:49,VP21,Scenario 2,13,4,10,4,10,8,6,102.06,15.22,0,,75.44,,,,,,,11.4,
136,21.04.22 16:00,3,en,173096056,21.04.22 15:49,21.04.22 16:00,VP21,Scenario 5,10,4,6,5,8,6,14,659.89,8.59,0,,642.68,,,,,,,8.62,
138,22.04.22 10:17,3,en,490323975,22.04.22 10:15,22.04.22 10:17,VP22,Scenario 4,7,4,5,14,9,14,17,95,10.4,0,,74.13,,,,,,,10.47,
139,22.04.22 10:55,3,en,1120315472,22.04.22 10:53,22.04.22 10:55,VP22,Scenario 2,7,4,8,7,11,9,16,96.17,12.03,0,,76.25,,,,,,,7.89,
140,22.04.22 11:06,3,en,1835012868,22.04.22 11:04,22.04.22 11:06,VP22,Scenario 1,4,2,2,6,6,3,20,94.53,10.02,0,,80.14,,,,,,,4.37,
141,22.04.22 11:15,3,en,1173613279,22.04.22 11:13,22.04.22 11:15,VP22,Scenario 3,13,6,13,12,12,12,16,110.95,35.65,0,,68.5,,,,,,,6.8,
142,22.04.22 11:26,3,en,266676536,22.04.22 11:24,22.04.22 11:26,VP22,Scenario 5,15,3,12,13,16,13,16,156.6,60.42,0,,90.67,,,,,,,5.51,
143,22.04.22 12:59,3,en,768728211,22.04.22 12:57,22.04.22 12:59,VP23,Scenario 2,14,4,8,3,11,8,13,114.6,20.66,0,,81.57,,,,,,,12.37,
144,22.04.22 13:09,3,en,1432848411,22.04.22 13:08,22.04.22 13:09,VP23,Scenario 1,5,2,1,1,2,0,20,54.71,14.59,0,,35.21,,,,,,,4.91,
145,22.04.22 13:20,3,en,1836575443,22.04.22 13:19,22.04.22 13:20,VP23,Scenario 4,13,8,11,7,13,10,6,86.7,11.12,0,,62.98,,,,,,,12.6,
146,22.04.22 13:30,3,en,1892713272,22.04.22 13:28,22.04.22 13:30,VP23,Scenario 3,9,9,6,4,9,8,11,64.78,11.29,0,,44.45,,,,,,,9.04,
147,22.04.22 13:41,3,en,1477177978,22.04.22 13:39,22.04.22 13:41,VP23,Scenario 5,9,9,5,3,9,11,10,75.55,12.59,0,,54.13,,,,,,,8.83,
148,22.04.22 14:33,3,en,743228315,22.04.22 14:31,22.04.22 14:33,VP24,Scenario 4,13,3,13,13,15,14,11,95.61,11.99,0,,64.98,,,,,,,18.64,
149,22.04.22 14:42,3,en,1445118551,22.04.22 14:41,22.04.22 14:42,VP24,Scenario 1,7,2,3,2,3,0,20,91.9,11.55,0,,75.2,,,,,,,5.15,
150,22.04.22 14:53,3,en,1369714384,22.04.22 14:51,22.04.22 14:53,VP24,Scenario 3,15,10,13,8,16,11,15,142.63,38.89,0,,95.82,,,,,,,7.92,
151,22.04.22 15:06,3,en,55542243,22.04.22 15:05,22.04.22 15:06,VP24,Scenario 2,14,3,13,7,13,4,14,60.19,9.96,0,,41.52,,,,,,,8.71,
152,22.04.22 15:21,3,en,356261033,22.04.22 15:19,22.04.22 15:21,VP24,Scenario 5,15,7,6,4,15,2,14,99.37,22.38,0,,67.57,,,,,,,9.42,
